,Date,Team,Returned,Injured,Injury,Length
342,1987-01-14,Suns,,Larry Nance Sr.,sprained right ankle,(DTD)
343,1987-01-20,Warriors,,Chris Washburn,kidney ailment,(out 3 games)
344,1987-02-18,76ers,,Julius Erving,fractured middle finger on right hand,(out ~6 games)
345,1987-02-20,Knicks,,Pat Cummings,right ring finger injury,(out 2+ games)
346,1987-02-28,Celtics,,Dennis Johnson,foot injury,(DTD)
347,1987-03-06,Blazers,,Sam Bowie,bone graft surgery on right leg,(Length Undetermined)
348,1987-03-14,Knicks,,Jawann Oldham,injured MCL in left knee,(out indefinitely)
349,1987-04-02,Sonics,,Alton Lister,broken bone in foot,(out indefinitely)
350,1987-04-30,Jazz,,Rickey Green,hamstring injury,(DTD)
351,1987-05-10,Celtics,,Kevin McHale,sprained right ankle,(DTD)
352,1987-06-01,Bulls,,Gene Banks,torn Achilles tendon,(date approximate)
353,1987-06-01,Celtics,,Kevin McHale,surgery on foot,(date approximate)
354,1987-07-01,Rockets,,Robert Reid,surgery on knee,(date approximate)
355,1987-07-07,76ers,,Andrew Toney,surgery on right ankle to clean out loose debris,(Length Undetermined)
356,1987-07-20,Nuggets,,Bill Hanzlik,appendectomy,(out indefinitely)
357,1987-07-20,Pistons,,Sidney Green,minor injuries suffered in car accident,(Length Undetermined)
358,1987-08-17,Clippers,,Lancaster Gordon,arthroscopic surgery on right knee,(out indefinitely)
359,1987-08-18,Nuggets,,Bill Hanzlik,surgery on back to repair herniated disc,(date approximate)
360,1987-09-28,Blazers,,Ronnie Murphy,toe injury,(out indefinitely)
361,1987-10-01,Spurs,,Mike Mitchell,arthroscopic surgery on knee,(date approximate)
362,1987-10-02,Blazers,,Jim Paxson Jr.,surgery on toe,(out indefinitely)
363,1987-10-13,Lakers,,Michael Cooper,throat ailment,(DTD)
364,1987-10-13,Suns,,Kenny Gattison,ligament damage and torn cartilage in left knee,(out for season)
365,1987-10-20,Nets,,Keith Lee,bone bruise in left leg,(out 4-6 weeks)
366,1987-10-21,Blazers,,Sam Bowie,broken bone in right leg,(out indefinitely)
367,1987-10-21,Warriors,,Larry Smith,pulled thigh muscle,(out 2+ weeks)
368,1987-10-26,Cavaliers,,Kent Benson,hyperextended elbow,(out 3-5 weeks)
369,1987-10-26,Suns,,Larry Nance Sr.,fractured ring finger on right hand,(out ~4 weeks)
370,1987-11-04,Bullets,,Manute Bol,strained & bruised left knee,(DTD)
371,1987-11-04,Nets,,Tony Brown,surgery on right foot,(out for season)
372,1987-11-08,Cavaliers,,Ron Harper,broken foot,(out 3-4 weeks)
373,1987-11-12,Lakers,,Jeff Lamp,shoulder injury,(out indefinitely)
374,1987-11-24,Lakers,,Jeff Lamp,surgery on shoulder,(out for season)
375,1987-11-29,76ers,,Roy Hinson,broken finger,(out 2+ weeks)
376,1987-11-29,76ers,,Tim McCormick,shoulder injury,(out 2+ weeks)
377,1987-11-30,Nets,,Orlando Woolridge,stress fracture in foot,(out indefinitely)
378,1987-12-02,Bucks,,Larry Krystkowiak,sprained left ankle,(DTD)
379,1987-12-10,76ers,,Christian Welp,atrthroscopic surgery on left knee,(Length Undetermined)
380,1987-12-13,Nets,,Buck Williams,sprained right ankle,(out 2-4 weeks)
381,1988-01-05,Mavericks,,Rolando Blackman,sprained knee,(out ~5 games)
382,1988-01-06,Nuggets,,Calvin Natt,hospitalized for phlebitis in left calf,(Length Undetermined)
383,1988-01-22,76ers,,Cliff Robinson,strained lower back & muscle spasms,(DTD)
384,1988-03-02,Nuggets,,Calvin Natt,surgery on knee,(date approximate)
385,1988-03-21,Kings,,Reggie Theus,torn calf muscle,(out 10+ days)
386,1988-03-22,Blazers,,Ronnie Murphy,stress fracture in right foot,(out for season)
387,1988-03-24,Kings,,Derek Smith,fractured left eye rim,(ouf for season)
388,1988-03-26,Lakers,,Earvin Johnson / Magic Johnson,strained right groin muscle,(DTD)
389,1988-03-26,Lakers,,Michael Cooper,sprained left ankle,(DTD)
390,1988-03-29,Blazers,,Sam Bowie,surgery on broken right tibia,(Length Undetermined)
391,1988-03-29,Kings,,LaSalle Thompson,right knee injury,(out for season)
392,1988-03-30,Kings,,Derek Smith,surgery to repair fractured left eye rim,(out for season)
393,1988-04-24,Cavaliers,,Kevin Henderson,admitted to clinic for emotional problems,(Length Undetermined)
394,1988-05-13,Sonics,,Xavier McDaniel,arthroscopic surgery on right knee to repair small tear,(Length Undetermined)
395,1988-05-27,Nuggets,,Lafayette Lever / Fat Lever,arthroscopic surgery on right knee,(Length Undetermined)
396,1988-07-07,Mavericks,,Detlef Schrempf,surgery on left ankle to repair stress fracture,(Length Undetermined)
397,1988-07-12,Pistons,,Rick Mahorn,surgery to remove ruptured disc,(out 10-12 weeks)
398,1988-07-25,Bulls,,Scottie Pippen,surgery on back to remove herniated disc,(Length Undetermined)
399,1988-08-03,Heat,,John Stroeder,infected right big toe,(DTD)
400,1988-08-18,Jazz,,Bart Kofoed,surgery on foot to repair stress fracture,(Length Undetermined)
401,1988-08-27,Suns,,Dean Garrett,fractured right foot,(out 10-12 weeks)
402,1988-09-01,Hawks,,Kevin Willis,broken left foot,(out for season)
403,1988-10-05,Nets,,Dennis Hopson,sprained ankle,(out indefintely)
404,1988-10-07,Hornets,,Dell Curry,fractured left wrist,(out 12+ weeks)
405,1988-10-10,Nuggets,,Maurice Martin / Mo Martin,reconstructive surgery on right knee,(out indefinitely)
406,1988-10-21,Jazz,,Bobby Hansen,broken left hand,(out indefinitely)
407,1988-10-25,76ers,,Maurice Cheeks,pulled groin,(out indefinitely)
408,1988-10-30,Bucks,,Jeff Grayer,chicken pox,(out ~3 weeks)
409,1988-10-31,Pacers,,Steve Stipanovich,arthroscopic surgery on left knee,(out 6+ weeks)
410,1988-11-01,Nuggets,,Bill Hanzlik,recurring back injury,(out ~2 weeks)
411,1988-11-12,Spurs,,Petur Gudmundsson,sugery on knee,(out 6-8 weeks)
412,1988-12-15,Suns,,Dean Garrett,re-injured right foot,(Length Undetermined)
413,1988-12-26,Blazers,,Craig Neal,injuries suffered in car accident,(DTD)
414,1988-12-29,Suns,,Dean Garrett,surgery on fractured right foot,(Length Undetermined)
415,1989-01-01,Clippers,,Danny Manning,torn ACL in right knee,(out indefinitely)
416,1989-01-04,76ers,,Cliff Robinson,arthroscopic surgery on knee,(date approximate)
417,1989-01-11,Pistons,,Joe Dumars,broken middle finger on left hand,(out indefinitely)
418,1989-01-22,Nuggets,,Jerome Lane,sprained ankle,(DTD)
419,1989-03-11,Nuggets,,Lafayette Lever / Fat Lever,sore left knee,(DTD)
420,1989-03-20,Blazers,,Steve Johnson,tendinitis in both knees,(DTD)
421,1989-03-21,Blazers,,Sam Bowie,injured right ankle,(DNP)
422,1989-03-28,Celtics,,Jim Paxson Jr.,surgery on right wrist,(out for season)
423,1989-05-14,Bucks,,Larry Krystkowiak,torn ACL in knee,(out for season)
424,1989-05-14,Warriors,,Otis Smith,scratched & bruised left eye,(DTD)
425,1989-05-14,Warriors,,Terry Teagle,bruised left knee,(DTD)
426,1989-05-31,Knicks,,Patrick Ewing Sr.,arthroscopic surgery on right knee,(out indefinitely)
427,1989-06-27,Cavaliers,,Larry Nance Sr.,surgery on left ankle to repair frayed tendon,(out indefinitely)
428,1989-10-23,Bullets,,Tracy Moore,stomach virus,(DTD)
429,1989-10-29,Bucks,,Greg Anderson / Cadillac Anderson,surgery on knee to repair torn cartilage,(out 4-6 weeks)
430,1989-11-08,Magic,,Dave Corzine,torn ACL in knee,(out indefinitely)
431,1989-11-24,Cavaliers,,Wayne Rollins / Tree Rollins,sprained left knee,(DTD)
432,1990-01-13,Mavericks,,Sam Perkins,flu,(DNP)
433,1990-01-13,Sonics,,Dale Ellis,three fractured ribs and a collapsed lung,(suffered in car accident)
434,1990-01-16,Clippers,,Ron Harper,torn ACL in knee,(out indefinitely)
435,1990-02-01,Clippers,,Tom Garrick,left knee tendinitis,(DTD)
436,1990-02-03,Mavericks,,Adrian Dantley,broken right leg,(out indefinitely)
437,1990-02-03,Nets,,Roy Hinson,knee injury,(out for season)
438,1990-02-05,Clippers,Tom Garrick,,returned to lineup,(Length Undetermined)
439,1990-10-05,Lakers,,Tony Smith,failed physical,(irregularity in the results of his stress test)
440,1990-10-08,Nuggets,,Bill Hanzlik,recovery from surgery on back to repair herniated disk,(out for season)
441,1990-10-09,Lakers,Tony Smith,,returned to lineup,(passed second physical)
442,1990-10-15,Nets,,Dan Godfread,foot injury,(DTD)
443,1990-10-16,Celtics,,Dee Brown,infected bit toe,(DTD)
444,1990-11-08,76ers,,Johnny Dawkins,torn ACL in right knee,(out indefinitely)
445,1990-11-09,Mavericks,,Roy Tarpley,torn ACL in knee,(out indefinitely)
446,1990-11-12,Mavericks,,Roy Tarpley,surgery on knee to repair torn ACL,(date approximate)
447,1990-11-16,76ers,,Johnny Dawkins,surgery on right knee to repair torn ACL,(date approximate)
448,1990-11-16,Warriors,,Mitch Richmond,fractured thumb,(out indefinitely)
449,1990-11-30,Cavaliers,,Mark Price,torn ACL in knee,(out indefinitely)
450,1990-12-08,Knicks,,Kiki Vandeweghe,bruised right thigh,(DTD)
451,1990-12-21,Nuggets,,Orlando Woolridge,surgery on right eye to repair detached retina,(out indefinitely)
452,1990-12-22,Nuggets,Orlando Woolridge,,surgery on right eye to repair detached retina,(Length Undetermined)
453,1990-12-26,Nets,,Derrick Coleman,knee injury,(DTD)
454,1991-01-04,Rockets,,Hakeem Olajuwon,fractured right orbit bone,(out 4+ weeks)
455,1991-01-14,76ers,,Charles Barkley,foot injury and hairline fracture in left ankle,(DTD)
456,1991-01-14,Rockets,,Hakeem Olajuwon,surgery on right eye,(out indefinitely)
457,1991-01-28,Hawks,,Dominique Wilkins,ruptured Achilled tendon,(out for season)
458,1991-01-31,Pistons,,Isiah Thomas,surgery on right wrist,(out indefinitely)
459,1991-02-06,Celtics,,Larry Bird,back injury,(DNP)
460,1991-02-13,Hawks,,Rumeal Robinson,small tear in lateral meniscus in right knee,(DTD)
461,1991-02-13,Heat,,Jon Sundvold,pneumonia and sinusitis,(out 2+ weeks)
462,1991-03-28,Clippers,,Gary Grant,arthroscopic surgery on right knee,(Length Undetermined)
463,1991-04-02,Rockets,,Kenny Smith,sprained foot,(DTD)
464,1991-04-17,Nuggets,,Chris Jackson / Mahmoud Abdul-Rauf,surgery on feet to remove extra bones,(Length Undetermined)
465,1991-04-17,Nuggets,,Michael Adams,cold and stiff neck,(DTD)
466,1991-05-09,Bucks,,Brad Lohaus,arthroscopic surgery on left knee to repair torn cartilage,(Length Undetermined)
467,1991-07-01,Cavaliers,,Danny Ferry,surgery on right knee to repair small tear in cartilage,(Length Undetermined)
468,1991-07-09,Celtics,,Derek Smith,arthroscopic surgery on left knee to remove small piece of cartilage,(Length Undetermined)
469,1991-10-01,Celtics,,Kevin McHale,recovering from surgery on ankle,(date approximate)
470,1991-10-07,Celtics,,Kennard Winchester,pulled groin,(DTD)
471,1991-10-09,Celtics,Kennard Winchester,,returned to lineup,(Length Undetermined)
472,1991-10-29,Celtics,,Dee Brown,torn cartilage in left knee,(Length Undetermined)
473,1991-10-29,Sonics,,Shawn Kemp,sprained ankle,(DTD)
474,1991-10-30,Celtics,,Dee Brown,arthroscopic surgery on left knee to repair torn cartilage,(Length Undetermined)
475,1991-10-30,Pacers,,George McCloud,surgery on right thumb to repair torn ligament,(out ~6 weeks)
476,1991-11-08,Bulls,,Craig Hodges,surgery on left knee to repair torn cartilage,(Length Undetermined)
477,1991-11-12,Hawks,,Travis Mays,surgery on right ankle to repair two ruptured tendons,(out indefinitely)
478,1991-12-05,Mavericks,,Lafayette Lever / Fat Lever,left knee injury,(DTD)
479,1991-12-26,Mavericks,Lafayette Lever / Fat Lever,,returned to lineup,(Length Undetermined)
480,1992-01-28,Hawks,,Dominique Wilkins,ruptured right Achilles tendon,(out for season)
481,1992-01-29,Mavericks,,Lafayette Lever / Fat Lever,arthroscopic surgery on left knee,(out for season)
482,1992-01-30,Hawks,,Dominique Wilkins,surgery to repair ruptured right Achilles tendon,(out for season)
483,1992-02-18,Nuggets,,Anthony Cook,dislocated shoulder,(out indefinitely)
484,1992-02-19,Nuggets,,Anthony Cook,surgery to repair dislocated shoulder,(date approximate)
485,1992-04-08,Heat,,Willie Burton,player entered a medical facility for treatment of depression,(out for season)
486,1992-07-01,Spurs,,Terry Cummings,torn ACL in knee,(out indefinitely)
487,1992-08-30,Rockets,,Dave Jamerson,torn ACL in left knee,(Length Undetermined)
488,1992-08-31,Bulls,,Scottie Pippen,surgery on right ankle and left wrist to remove scar tissue,(Length Undetermined)
489,1992-09-11,Pacers,,Rik Smits,arthroscopic surgery on left knee,(out indefinitely)
490,1992-09-17,Blazers,,Clyde Drexler,arthroscopic surgery on right knee to clean out loose cartilage,(Length Undetermined)
491,1992-10-16,Nuggets,,Anthony Cook,ruptured patella tendon in right knee,(out for season)
492,1992-10-21,Blazers,,Dave Johnson,sprained right foot,(DTD)
493,1992-10-30,Hawks,,Stacey Augmon,surgery on left knee to remove bone chips,(out indefinitely)
494,1992-10-30,Rockets,,Dave Jamerson,surgery on left knee to repair torn ACL,(Length Undetermined)
495,1992-11-13,Hawks,Stacey Augmon,,returned to lineup,(Length Undetermined)
496,1992-12-15,Hawks,,Dominique Wilkins,broken fourth finger on right hand,(out indefinitely)
497,1993-02-23,Cavaliers,,Mike Sanders,arthroscopic surgery on left knee to repair torn cartilage,(Length Undetermined)
498,1993-03-23,Nets,,Drazen Petrovic,sprained MCL in left knee,(out indefinitely)
499,1993-03-25,Bulls,,Jerry Krause,GM hospitalized with chest pains,(Length Undetermined)
500,1993-04-06,Cavaliers,,Jerome Lane,shoulder injury,(DNP)
501,1993-04-08,Cavaliers,,Jerome Lane,shoulder injury,(DNP)
502,1993-04-22,Cavaliers,,Larry Nance Sr.,broken left index finger,(DTD)
503,1993-04-22,Rockets,,Vernon Maxwell,broken wrist,(DTD)
504,1993-07-01,Celtics,,John Bagley,arthroscopic surgery on right knee to repair torn cartilage,(out for season)
505,1993-09-01,Warriors,,Sarunas Marciulionis,torn ACL in knee,(out indefinitely)
506,1993-10-01,Warriors,,Tim Hardaway Sr.,torn ACL in knee,(out indefinitely)
507,1993-12-01,Knicks,,Glenn Rivers / Doc Rivers,torn ACL in knee,(out indefinitely)
508,1994-01-10,Lakers,,Antonio Harvey,strained left hip muscle,(out indefinitely)
509,1994-01-12,Pacers,,Vern Fleming,pulled right hamstring,(DNP)
510,1994-01-14,Bulls,,Toni Kukoc,ankle injury,(DNP)
511,1994-01-14,Pacers,,Vern Fleming,pulled right hamstring,(DNP)
512,1994-01-18,Hornets,,Joe Wolf,hyperextended right knee,(Length Undetermined)
513,1994-02-05,Mavericks,,Terry Davis,"surgery to remove scar tissue, calcium deposits, and wiring from left elbow",(Length Undetermined)
514,1994-02-18,76ers,,Shawn Bradley,dislocated kneecap,(DTD)
515,1994-02-20,Bullets,,Kenny Walker,shattered cheekbone in eight pieces,(Length Undetermined)
516,1994-02-22,76ers,,Shawn Bradley,dislocated kneecap and slight bone chip in left knee,(out for season)
517,1994-02-22,76ers,,Shawn Bradley,underwent surgery on left knee to remove a bone chip,(Length Undetermined)
518,1994-06-08,Pacers,,Larry Brown,head coach underwent surgery to replace right hip,(out indefinitely)
519,1994-07-06,Knicks,,Patrick Ewing Sr.,arthroscopic surgery on knee,(out 6-8 weeks)
520,1994-08-16,Bullets,,Brent Price,surgery on knee to repair torn ACL,(out for season)
521,1994-08-24,Cavaliers,,John Battle,surgery on left knee to remove loose cartilage,(out 4-6 weeks)
522,1994-08-24,Lakers,,Doug Christie,surgery on left ankle to remove calcium deposits,(out 8-12 weeks)
523,1994-09-15,Nuggets,,LaPhonso Ellis,stress fracture in right kneecap,(out 8 weeks)
524,1994-09-16,Mavericks,,,had fingernail ripped off finger of left hand,(Length Undetermined)
525,1994-10-03,Cavaliers,,Brad Daugherty,back problems,(Length Undetermined)
526,1994-10-04,Rockets,,Hakeem Olajuwon,injury to sinus cavity,(out 10 days)
527,1994-10-07,Magic,,Shaquille O'Neal,sprained right big toe,(out 1 week)
528,1994-10-11,Hornets,,Alonzo Mourning,strained tendon in right big toe,(out 2 weeks)
529,1994-10-11,Magic,Shaquille O'Neal,,returned to practice,(Length Undetermined)
530,1994-10-13,Hornets,,Tony Bennett,ankle problems,(Length Undetermined)
531,1994-10-14,Kings,,Lionel Simmons,arthroscopic surgery on right knee,(Length Undetermined)
532,1994-10-18,76ers,,Shawn Bradley,injured left knee,(Length Undetermined)
533,1994-10-18,Cavaliers,,Gerald Wilkins,torn Achilles tendon,(Length Undetermined)
534,1994-10-19,Hornets,,Larry Johnson,sprained ankle,(Length Undetermined)
535,1994-10-20,76ers,,Scott Williams,sore back,(out for rest of pre-season)
536,1994-10-20,76ers,,Shawn Bradley,sprained ligament in left knee,(out 6-8 weeks)
537,1994-10-21,Cavaliers,,Gerald Wilkins,surgery to repair torn Achilles tendon,(Length Undetermined)
538,1994-10-23,Bucks,,Eric Murdock,poked in eye,(out 4-6 weeks)
539,1994-10-24,Hornets,,Tom Tolbert,foot injury,(out 2 months)
540,1994-10-25,Blazers,,Terry Porter,will have surgery on right ankle,(out at least 4 weeks)
541,1994-10-25,Clippers,,Stanley Roberts,ruptured left Achilles tendon,(Length Undetermined)
542,1994-10-25,Hawks,,Craig Ehlo,will have surgery on right knee,(out 3-4 weeks)
543,1994-10-26,Warriors,,Chris Mullin,sprained left knee,(Length Undetermined)
544,1994-10-27,Clippers,,Stanley Roberts,ruptured left Achilles tendon,(out for season)
545,1994-10-27,Warriors,,Billy Owens,strained left hamstring,(out 2 weeks)
546,1994-11-02,Knicks,,Anthony Bonner,surgery on knee,(out indefinitely)
547,1994-11-02,Suns,,Charles Barkley,strained lower abdominal wall,(Length Undetermined)
548,1994-11-02,Suns,,Charles Barkley,irritated eyes,(DTD)
549,1994-11-03,Hornets,,Alonzo Mourning,strained tendon in toe,(DTD)
550,1994-11-03,Nuggets,,LaPhonso Ellis,surgery on right knee,(out for season)
551,1994-11-03,Suns,,Charles Barkley,burned cornea,(DTD)
552,1994-11-04,Bullets,,Don MacLean,blistered foot,(DNP)
553,1994-11-04,Bulls,,Luc Longley,sprained left ankle,(DNP)
554,1994-11-04,Celtics,,Sherman Douglas,strained knee ligament,(Length Undetermined)
555,1994-11-04,Heat,,Billy Owens,strained left hamstring,(DTD)
556,1994-11-04,Nuggets,,Mahmoud Abdul-Rauf / Chris Jackson,strained hamstring,(DNP)
557,1994-11-05,Nuggets,,Brian Williams / Bison Dele,fractured ankle,(DTD)
558,1994-11-05,Rockets,,Kenny Smith,flu,(DNP)
559,1994-11-07,Celtics,,Sherman Douglas,sprained MCL in left knee,(out 4-8 weeks)
560,1994-11-07,Celtics,,Xavier McDaniel,strained left hamstring,(Length Undetermined)
561,1994-11-08,Clippers,,Greg Grant,complications from September arthroscopic surgery,(Length Undetermined)
562,1994-11-08,Nuggets,,Brian Williams / Bison Dele,stress fracture in left ankle,(out 2 weeks)
563,1994-11-09,Timberwolves,,Micheal Williams,injured left heel,(out 6-8 weeks)
564,1994-11-09,Warriors,,Carlos Rogers,sprained right ankle,(out 7-10 days)
565,1994-11-11,Bulls,,Luc Longley,stress fracture in left leg,(Length Undetermined)
566,1994-11-11,Suns,,Kevin Johnson,sprained rib cage muscle,(DTD)
567,1994-11-12,Hornets,,Michael Adams,pulled hamstring,(Length Undetermined)
568,1994-11-12,Nuggets,,Rodney Rogers,injured big toe,(DNP)
569,1994-11-12,Suns,,Danny Ainge,flu,(DNP)
