,Date,Team,Returned,Injured,Injury,Length
23476,2015-11-10,Pelicans,Jrue Holiday,,returned to lineup,(Length Undetermined)
23477,2015-11-10,Pelicans,Omer Asik,,returned to lineup,(Length Undetermined)
23478,2015-11-10,Timberwolves,,Andrew Wiggins,sore right knee,(DTD)
23479,2015-11-10,Timberwolves,,Ricky Rubio,sore left knee,(DTD)
23480,2015-11-10,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore back,(DTD)
23481,2015-11-10,Wizards,Drew Gooden,,returned to lineup,(Length Undetermined)
23482,2015-11-11,76ers,,Richaun Holmes,strained right hamstring,(DTD)
23483,2015-11-11,Blazers,,Meyers Leonard,dislocated left shoulder,(out indefinitely)
23484,2015-11-11,Bucks,,Jabari Parker,rest,(DTD)
23485,2015-11-11,Grizzlies,,Jarell Martin,recovering from surgery on left foot to repair fracture,(DTD)
23486,2015-11-11,Magic,,C.J. Watson,sore left calf,(DTD)
23487,2015-11-11,Pacers,,Rodney Stuckey,sprained right ankle,(DTD)
23488,2015-11-11,Pelicans,,Anthony Davis,strained right hip,(DTD)
23489,2015-11-11,Pelicans,,Jrue Holiday,lower right leg injury,(DTD)
23490,2015-11-11,Rockets,,Sam Dekker,sore back,(DTD)
23491,2015-11-11,Thunder,,Kevin Durant,strained left hamstring,(DTD)
23492,2015-11-12,Clippers,,Chris Paul,sore right groin,(DTD)
23493,2015-11-12,Clippers,,J.J. Redick,lower back spasms,(DTD)
23494,2015-11-12,Magic,,Victor Oladipo,concussion,(DTD)
23495,2015-11-12,Pacers,,Myles Turner,chip fracture in left thumb,(out indefinitely)
23496,2015-11-12,Timberwolves,Andrew Wiggins,,returned to lineup,(Length Undetermined)
23497,2015-11-13,76ers,Nerlens Noel,,returned to lineup,(Length Undetermined)
23498,2015-11-13,Bulls,Joakim Noah,,returned to lineup,(Length Undetermined)
23499,2015-11-13,Kings,,Rudy Gay,gastroenteritis,(DTD)
23500,2015-11-13,Nuggets,Jameer Nelson,,returned to lineup,(Length Undetermined)
23501,2015-11-13,Pelicans,Jrue Holiday,,returned to lineup,(Length Undetermined)
23502,2015-11-13,Jazz,,Rudy Gobert,sprained left ankle,(DTD)
23503,2015-11-13,Magic,,Jason Smith,sore left knee,(DTD)
23504,2015-11-14,Grizzlies,,James Ennis,sore shoulder,(DTD)
23505,2015-11-14,Mavericks,,Wesley Matthews / Wes Matthews Jr.,Achilles injury,(DTD)
23506,2015-11-14,Rockets,,Dwight Howard,back injury,(DTD)
23507,2015-11-14,Suns,,Markieff Morris,sprained left knee,(DTD)
23508,2015-11-14,Warriors,,Klay Thompson,sore back,(DTD)
23509,2015-11-14,Wizards,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup,(Length Undetermined)
23510,2015-11-15,Jazz,Rudy Gobert,,returned to lineup,(Length Undetermined)
23511,2015-11-15,Kings,Rudy Gay,,returned to lineup,(Length Undetermined)
23512,2015-11-15,Pelicans,Anthony Davis,,returned to lineup,(Length Undetermined)
23513,2015-11-16,76ers,,Phil Pressey,illness,(DTD)
23514,2015-11-16,76ers,Robert Covington,,returned to lineup,(Length Undetermined)
23515,2015-11-16,Bucks,,Jabari Parker,sprained right foot,(DTD)
23516,2015-11-16,Bulls,,Derrick Rose,sprained left ankle,(DTD)
23517,2015-11-16,Hawks,,Kent Bazemore,sprained ankle,(DTD)
23518,2015-11-16,Pacers,,George Hill,upper respiratory infection,(DTD)
23519,2015-11-16,Pacers,,Myles Turner,surgery on left thumb to repair chip fracture and torn ligament,(out indefinitely)
23520,2015-11-16,Rockets,Dwight Howard,,returned to lineup,(Length Undetermined)
23521,2015-11-17,Nuggets,,Darrell Arthur,illness,(DTD)
23522,2015-11-17,Nuggets,,Wilson Chandler,surgery on right hip to repair torn labrum,(out for season)
23523,2015-11-17,Pelicans,,Omer Asik,stomach illness,(DTD)
23524,2015-11-17,Warriors,Klay Thompson,,returned to lineup,(Length Undetermined)
23525,2015-11-18,76ers,Phil Pressey,,returned to lineup,(Length Undetermined)
23526,2015-11-18,Magic,Jason Smith,,returned to lineup,(Length Undetermined)
23527,2015-11-18,Nuggets,Darrell Arthur,,returned to lineup,(Length Undetermined)
23528,2015-11-18,Pelicans,,Anthony Davis,shoulder injury,(DTD)
23529,2015-11-18,Pelicans,,Jrue Holiday,DNP,(Length Undetermined)
23530,2015-11-18,Raptors,,Terrence Ross,left thumb ligament injury,(DTD)
23531,2015-11-18,Suns,Markieff Morris,,returned to lineup,(Length Undetermined)
23532,2015-11-18,Kings,Darren Collison,,returned to lineup,(Length Undetermined)
23533,2015-11-19,Bulls,,Aaron Brooks,strained left hamstring,(DTD)
23534,2015-11-19,Cavaliers,,Maurice Williams / Mo Williams,right ankle inflammation,(DTD)
23535,2015-11-19,Cavaliers,,Timofey Mozgov,strained right shoulder,(DTD)
23536,2015-11-19,Clippers,Chris Paul,,returned to lineup,(Length Undetermined)
23537,2015-11-19,Warriors,,Leandro Barbosa,virus,(DTD)
23538,2015-11-20,Clippers,,Pablo Prigioni,illness,(DTD)
23539,2015-11-20,Clippers,J.J. Redick,,returned to lineup,(Length Undetermined)
23540,2015-11-20,Grizzlies,,Zach Randolph,sore right knee,(DTD)
23541,2015-11-20,Grizzlies,James Ennis,,returned to lineup,(Length Undetermined)
23542,2015-11-20,Hornets,,Cody Zeller,sprained left ankle,(DTD)
23543,2015-11-20,Knicks,,Louis Amundson / Lou Amundson,head injury,(DTD)
23544,2015-11-20,Pelicans,Anthony Davis,,returned to lineup,(Length Undetermined)
23545,2015-11-20,Pelicans,Omer Asik,,returned to lineup,(Length Undetermined)
23546,2015-11-20,Raptors,Terrence Ross,,returned to lineup,(Length Undetermined)
23547,2015-11-20,Warriors,Leandro Barbosa,,returned to lineup,(Length Undetermined)
23548,2015-11-20,Wizards,,Martell Webster,surgery on right hip,(out for season)
23549,2015-11-20,Nuggets,,Joffrey Lauvergne,strained lower back,(DTD)
23550,2015-11-21,76ers,Richaun Holmes,,returned to lineup,(Length Undetermined)
23551,2015-11-21,Celtics,,Marcus Smart,bruised left knee,(DTD)
23552,2015-11-21,Hawks,,Tiago Splitter,sore right hip,(DTD)
23553,2015-11-21,Knicks,Louis Amundson / Lou Amundson,,returned to lineup,(Length Undetermined)
23554,2015-11-21,Nuggets,,Kenneth Faried,sprained left ankle,(DTD)
23555,2015-11-21,Pacers,Rodney Stuckey,,returned to lineup,(Length Undetermined)
23556,2015-11-21,Raptors,,Jonas Valanciunas,fractured left hand,(out indefinitely)
23557,2015-11-21,Rockets,,Dwight Howard,rest,(DTD)
23558,2015-11-21,Wizards,Bradley Beal,,returned to lineup,(Length Undetermined)
23559,2015-11-22,Nets,,Wayne Ellington,migraine headache,(DTD)
23560,2015-11-23,Heat,,Amare Stoudemire / Amar'e Stoudemire,illness,(DTD)
23561,2015-11-23,Heat,,Luol Deng,sore hamstring,(DTD)
23562,2015-11-23,Hornets,Cody Zeller,,returned to lineup,(Length Undetermined)
23563,2015-11-24,Clippers,Pablo Prigioni,,returned to lineup,(Length Undetermined)
23564,2015-11-24,Pacers,George Hill,,returned to lineup,(Length Undetermined)
23565,2015-11-25,76ers,,Nik Stauskas,bruised left knee,(DTD)
23566,2015-11-25,Cavaliers,,Matthew Dellavedova,left calf tightness,(DTD)
23567,2015-11-25,Cavaliers,Maurice Williams / Mo Williams,,returned to lineup,(Length Undetermined)
23568,2015-11-25,Kings,,DeMarcus Cousins,sore back,(DTD)
23569,2015-11-25,Nets,Wayne Ellington,,returned to lineup,(Length Undetermined)
23570,2015-11-25,Pistons,,Spencer Dinwiddie,sore left knee,(DTD)
23571,2015-11-25,Rockets,Dwight Howard,,returned to lineup,(Length Undetermined)
23572,2015-11-25,Thunder,,Mitch McGary,sore ankle,(DTD)
23573,2015-11-27,76ers,,Nerlens Noel,sore right knee,(DTD)
23574,2015-11-27,76ers,Nik Stauskas,,returned to lineup,(Length Undetermined)
